prop_handle,enum_value,description,model_handle,version_string,node_handle
organ_or_tissue,Posterior mediastinum,Site where images are associated,,,
organ_or_tissue,Postcricoid region,Site where images are associated,,,
organ_or_tissue,"Pleura, NOS",Site where images are associated,,,
longitudinal_temporal_event_type,Enrollment,The type of event to which Longitudinal Temporal Offset from Event is relative.,,,
longitudinal_temporal_event_type,Baseline,The type of event to which Longitudinal Temporal Offset from Event is relative.,,,
tumor_tissue_type,Tumor specimen from de novo untreated malignancy of the bladder,Text that describes the kind of disease present in the tumor specimen as related to a specific timepoint (add rows to select multiple values along with timepoints),,,
tumor_tissue_type,Recurrent,Text that describes the kind of disease present in the tumor specimen as related to a specific timepoint (add rows to select multiple values along with timepoints),,,
tumor_tissue_type,Metastatic,Text that describes the kind of disease present in the tumor specimen as related to a specific timepoint (add rows to select multiple values along with timepoints),,,
tumor_tissue_type,Primary,Text that describes the kind of disease present in the tumor specimen as related to a specific timepoint (add rows to select multiple values along with timepoints),,,
tumor_tissue_type,Additional Primary,Text that describes the kind of disease present in the tumor specimen as related to a specific timepoint (add rows to select multiple values along with timepoints),,,
tumor_tissue_type,NOS,Text that describes the kind of disease present in the tumor specimen as related to a specific timepoint (add rows to select multiple values along with timepoints),,,
tumor_tissue_type,Xenograft,Text that describes the kind of disease present in the tumor specimen as related to a specific timepoint (add rows to select multiple values along with timepoints),,,
tumor_tissue_type,Premalignant,Text that describes the kind of disease present in the tumor specimen as related to a specific timepoint (add rows to select multiple values along with timepoints),,,
tumor_tissue_type,Local recurrence,Text that describes the kind of disease present in the tumor specimen as related to a specific timepoint (add rows to select multiple values along with timepoints),,,
tumor_tissue_type,Not reported,Text that describes the kind of disease present in the tumor specimen as related to a specific timepoint (add rows to select multiple values along with timepoints),,,
tumor_tissue_type,Not applicable,Text that describes the kind of disease present in the tumor specimen as related to a specific timepoint (add rows to select multiple values along with timepoints),,,
tumor_tissue_type,Unknown,Text that describes the kind of disease present in the tumor specimen as related to a specific timepoint (add rows to select multiple values along with timepoints),,,
tumor_tissue_type,Atypia or hyperplasia,Text that describes the kind of disease present in the tumor specimen as related to a specific timepoint (add rows to select multiple values along with timepoints),,,
tumor_tissue_type,Normal adjacent,Text that describes the kind of disease present in the tumor specimen as related to a specific timepoint (add rows to select multiple values along with timepoints),,,
tumor_tissue_type,Normal distant,Text that describes the kind of disease present in the tumor specimen as related to a specific timepoint (add rows to select multiple values along with timepoints),,,
