prop_handle,enum_value,http_status,passed,notes
performed_imaging_study_nonAcquisitionModalitiesInStudyCode,SMR,200,True,
performed_imaging_study_nonAcquisitionModalitiesInStudyCode,SR,200,True,
performed_imaging_study_nonAcquisitionModalitiesInStudyCode,ST,200,True,
performed_imaging_study_nonAcquisitionModalitiesInStudyCode,TG,200,True,
performed_imaging_study_nonAcquisitionModalitiesInStudyCode,BI,200,True,
performed_imaging_study_nonAcquisitionModalitiesInStudyCode,AS,200,True,
performed_imaging_study_nonAcquisitionModalitiesInStudyCode,AU,200,True,
performed_imaging_study_nonAcquisitionModalitiesInStudyCode,CD,200,True,
performed_imaging_study_nonAcquisitionModalitiesInStudyCode,CF,200,True,
performed_imaging_study_nonAcquisitionModalitiesInStudyCode,CP,200,True,
performed_imaging_study_nonAcquisitionModalitiesInStudyCode,CR,200,True,
performed_imaging_study_nonAcquisitionModalitiesInStudyCode,US,200,True,
performed_imaging_study_nonAcquisitionModalitiesInStudyCode,VF,200,True,
performed_imaging_study_nonAcquisitionModalitiesInStudyCode,XA,200,True,
performed_imaging_study_nonAcquisitionModalitiesInStudyCode,XC,200,True,
performed_imaging_study_nonAcquisitionModalitiesInStudyCode,CS,200,True,
performed_imaging_study_nonAcquisitionModalitiesInStudyCode,CT,200,True,
performed_imaging_study_nonAcquisitionModalitiesInStudyCode,DD,200,True,
performed_imaging_study_nonAcquisitionModalitiesInStudyCode,DF,200,True,
performed_imaging_study_nonAcquisitionModalitiesInStudyCode,DG,200,True,
performed_imaging_study_nonAcquisitionModalitiesInStudyCode,DM,200,True,
performed_imaging_study_nonAcquisitionModalitiesInStudyCode,DS,200,True,
performed_imaging_study_nonAcquisitionModalitiesInStudyCode,DX,200,True,
performed_imaging_study_nonAcquisitionModalitiesInStudyCode,EC,200,True,
performed_imaging_study_nonAcquisitionModalitiesInStudyCode,EPS,200,True,
performed_imaging_study_nonAcquisitionModalitiesInStudyCode,ES,200,True,
performed_imaging_study_nonAcquisitionModalitiesInStudyCode,FA,200,True,
performed_imaging_study_nonAcquisitionModalitiesInStudyCode,FS,200,True,
performed_imaging_study_nonAcquisitionModalitiesInStudyCode,GM,200,True,
performed_imaging_study_nonAcquisitionModalitiesInStudyCode,HC,200,True,
performed_imaging_study_nonAcquisitionModalitiesInStudyCode,HD,200,True,
performed_imaging_study_nonAcquisitionModalitiesInStudyCode,IO,200,True,
performed_imaging_study_nonAcquisitionModalitiesInStudyCode,IVUS,200,True,
performed_imaging_study_nonAcquisitionModalitiesInStudyCode,KO,200,True,
performed_imaging_study_nonAcquisitionModalitiesInStudyCode,LP,200,True,
performed_imaging_study_nonAcquisitionModalitiesInStudyCode,LS,200,True,
performed_imaging_study_nonAcquisitionModalitiesInStudyCode,MA,200,True,
performed_imaging_study_nonAcquisitionModalitiesInStudyCode,MG,200,True,
performed_imaging_study_nonAcquisitionModalitiesInStudyCode,MR,200,True,
performed_imaging_study_nonAcquisitionModalitiesInStudyCode,MS,200,True,
performed_imaging_study_nonAcquisitionModalitiesInStudyCode,AR,200,True,
performed_imaging_study_nonAcquisitionModalitiesInStudyCode,ASMT,200,True,
performed_imaging_study_nonAcquisitionModalitiesInStudyCode,BDUS,200,True,
performed_imaging_study_nonAcquisitionModalitiesInStudyCode,BMD,200,True,
performed_imaging_study_nonAcquisitionModalitiesInStudyCode,CTPROTOCOL,200,True,
performed_imaging_study_nonAcquisitionModalitiesInStudyCode,DMS,200,True,
performed_imaging_study_nonAcquisitionModalitiesInStudyCode,DOC,200,True,
performed_imaging_study_nonAcquisitionModalitiesInStudyCode,EEG,200,True,
performed_imaging_study_nonAcquisitionModalitiesInStudyCode,EMG,200,True,
performed_imaging_study_nonAcquisitionModalitiesInStudyCode,EOG,200,True,
performed_imaging_study_nonAcquisitionModalitiesInStudyCode,FID,200,True,
performed_imaging_study_nonAcquisitionModalitiesInStudyCode,IOL,200,True,
performed_imaging_study_nonAcquisitionModalitiesInStudyCode,IVOCT,200,True,
performed_imaging_study_nonAcquisitionModalitiesInStudyCode,KER,200,True,
performed_imaging_study_nonAcquisitionModalitiesInStudyCode,LEN,200,True,
