prop_handle,enum_value,term_value,description,model_handle,version_string,node_handle
alteration,del(5q),del(5q),The words by which the generally used name of the mutation is known.,CCDI-DCC,1.0.0,genetic_analysis
alteration,del(7q),del(7q),The words by which the generally used name of the mutation is known.,CCDI-DCC,1.0.0,genetic_analysis
alteration,del(9q),del(9q),The words by which the generally used name of the mutation is known.,CCDI-DCC,1.0.0,genetic_analysis
alteration,der.12p,der.12p,The words by which the generally used name of the mutation is known.,CCDI-DCC,1.0.0,genetic_analysis
alteration,DICER1 mutation,,The words by which the generally used name of the mutation is known.,CCDI-DCC,1.0.0,genetic_analysis
alteration,E2A/PBX1 t(1;19),,The words by which the generally used name of the mutation is known.,CCDI-DCC,1.0.0,genetic_analysis
alteration,ETV6 rearranged,,The words by which the generally used name of the mutation is known.,CCDI-DCC,1.0.0,genetic_analysis
alteration,ETV6-RUNX1 t(12;21)(p13;q22)(formerly TEL-AML1),,The words by which the generally used name of the mutation is known.,CCDI-DCC,1.0.0,genetic_analysis
alteration,EWSR1 Rearranged,,The words by which the generally used name of the mutation is known.,CCDI-DCC,1.0.0,genetic_analysis
alteration,EWSR1-ATF1,,The words by which the generally used name of the mutation is known.,CCDI-DCC,1.0.0,genetic_analysis
alteration,EWSR1-CREB1,,The words by which the generally used name of the mutation is known.,CCDI-DCC,1.0.0,genetic_analysis
alteration,EWSR1-DDIT3,,The words by which the generally used name of the mutation is known.,CCDI-DCC,1.0.0,genetic_analysis
alteration,EWSR1-ERG,,The words by which the generally used name of the mutation is known.,CCDI-DCC,1.0.0,genetic_analysis
alteration,EWSR1-ETV1,,The words by which the generally used name of the mutation is known.,CCDI-DCC,1.0.0,genetic_analysis
alteration,EWSR1-ETV4,,The words by which the generally used name of the mutation is known.,CCDI-DCC,1.0.0,genetic_analysis
alteration,EWSR1-FEV,,The words by which the generally used name of the mutation is known.,CCDI-DCC,1.0.0,genetic_analysis
alteration,EWSR1-FLI1,,The words by which the generally used name of the mutation is known.,CCDI-DCC,1.0.0,genetic_analysis
alteration,EWSR1-KLF17,,The words by which the generally used name of the mutation is known.,CCDI-DCC,1.0.0,genetic_analysis
alteration,EWSR1-NR4A3,,The words by which the generally used name of the mutation is known.,CCDI-DCC,1.0.0,genetic_analysis
alteration,EWSR1-PBX1,,The words by which the generally used name of the mutation is known.,CCDI-DCC,1.0.0,genetic_analysis
alteration,EWSR1-POU5F1,,The words by which the generally used name of the mutation is known.,CCDI-DCC,1.0.0,genetic_analysis
alteration,EWSR1-WT1,,The words by which the generally used name of the mutation is known.,CCDI-DCC,1.0.0,genetic_analysis
alteration,EWSR1-ZNF444,,The words by which the generally used name of the mutation is known.,CCDI-DCC,1.0.0,genetic_analysis
alteration,FBXW7 mutation,,The words by which the generally used name of the mutation is known.,CCDI-DCC,1.0.0,genetic_analysis
alteration,FGFR4 mutation,,The words by which the generally used name of the mutation is known.,CCDI-DCC,1.0.0,genetic_analysis
alteration,FLT3 internal tandem duplication (ITD),,The words by which the generally used name of the mutation is known.,CCDI-DCC,1.0.0,genetic_analysis
alteration,FLT3-TKD,,The words by which the generally used name of the mutation is known.,CCDI-DCC,1.0.0,genetic_analysis
alteration,FOXO1 rearranged,,The words by which the generally used name of the mutation is known.,CCDI-DCC,1.0.0,genetic_analysis
alteration,FUS Rearranged,,The words by which the generally used name of the mutation is known.,CCDI-DCC,1.0.0,genetic_analysis
alteration,FUS Translocation Present,,The words by which the generally used name of the mutation is known.,CCDI-DCC,1.0.0,genetic_analysis
alteration,FUS-DDIT3,,The words by which the generally used name of the mutation is known.,CCDI-DCC,1.0.0,genetic_analysis
alteration,FUS-ERG,,The words by which the generally used name of the mutation is known.,CCDI-DCC,1.0.0,genetic_analysis
alteration,FUS-FEV,,The words by which the generally used name of the mutation is known.,CCDI-DCC,1.0.0,genetic_analysis
alteration,FUS-KLF17,,The words by which the generally used name of the mutation is known.,CCDI-DCC,1.0.0,genetic_analysis
alteration,GAB1 mutation,,The words by which the generally used name of the mutation is known.,CCDI-DCC,1.0.0,genetic_analysis
alteration,GATA1 mutation,,The words by which the generally used name of the mutation is known.,CCDI-DCC,1.0.0,genetic_analysis
alteration,GLI2 Amplification,,The words by which the generally used name of the mutation is known.,CCDI-DCC,1.0.0,genetic_analysis
alteration,HRAS mutation,,The words by which the generally used name of the mutation is known.,CCDI-DCC,1.0.0,genetic_analysis
alteration,iAMP21,,The words by which the generally used name of the mutation is known.,CCDI-DCC,1.0.0,genetic_analysis
